Mám ip: 10.0.0.15 a port: 38 - ;1;02/21/2023, 12:24:50#
Client connection accepted from 10.0.0.15:53207 - ;1;02/21/2023, 12:24:57#
pøišlo po síti: T - ;1;02/21/2023, 12:25:12#
odpoved: TRANSLATEDSUC"pes" - ;1;02/21/2023, 12:25:12#
Mám ip: 10.0.0.15 a port: 38 - ;1;02/21/2023, 12:26:24#
Mám ip: 10.0.0.15 a port: 38 - ;1;02/21/2023, 12:26:26#
